Id,PRP
0,198
1,269
2,220
3,172
4,132
5,318
6,367
7,636
8,1144
9,38
10,40
11,92
12,10
13,35
14,19
15,28
16,31
17,120
18,30
19,33
20,61
21,76
22,69
23,33
24,27
25,77
26,27
27,274
28,63
29,106
30,20
31,71
32,36
33,40
34,52
35,72
36,18
37,20
38,62
39,138
40,36
41,26
42,60
43,71
44,12
45,20
46,16
47,22
48,36
49,144
50,144
51,259
52,17
53,26
54,32
55,32
56,62
57,64
58,36
59,44
60,50
61,45
62,36
63,84
64,16
65,38
66,38
67,16
68,22
69,29
70,40
71,35
72,134
73,141
74,189
75,22
76,132
77,237
78,465
79,277
80,185
81,6
82,24
83,45
84,7
85,13
86,32
87,11
88,18
89,22
90,37
91,40
92,50
93,76
94,66
95,24
96,49
97,66
98,133
99,12
100,20
101,27
102,45
103,56
104,70
105,80
106,136
107,16
108,26
109,45
110,65
111,30
112,50
113,40
114,62
115,60
116,66
117,86
118,93
119,111
120,143
121,214
122,277
123,370
124,510
125,214
126,326
127,510
128,12
129,17
130,21
131,34
132,42
133,46
134,51
135,116
136,100
137,140
138,212
139,41
140,25
141,50
142,50
143,30
144,32
145,38
146,60
147,109
148,6
149,33
150,130
151,75
152,113
153,188
154,248
155,405
156,70
157,114
158,208
159,307
160,915
161,1150
162,12
163,14
164,18
165,42
166,52
167,45
